year,country,energy_balance,value
2017,Türkiye,Available for final consumption,105864.359
2018,Türkiye,Available for final consumption,103627.513
2019,Türkiye,Available for final consumption,105068.665
2020,Türkiye,Available for final consumption,106990.002
2021,Türkiye,Available for final consumption,115858.58
2022,Türkiye,Available for final consumption,112819.433
2023,Türkiye,Available for final consumption,116493.899
2014,Ukraine,Available for final consumption,62689.172
2015,Ukraine,Available for final consumption,51487.995
2016,Ukraine,Available for final consumption,52687.135
2017,Ukraine,Available for final consumption,51607.814
2018,Ukraine,Available for final consumption,52839.534
2019,Ukraine,Available for final consumption,50060.736
2020,Ukraine,Available for final consumption,48917.87
2014,United Kingdom,Available for final consumption,122534.193
2015,United Kingdom,Available for final consumption,128316.33
2016,United Kingdom,Available for final consumption,130030.631
2017,United Kingdom,Available for final consumption,129780.443
2018,United Kingdom,Available for final consumption,130914.521
2019,United Kingdom,Available for final consumption,127768.662
2014,Kosovo*,Available for final consumption,1251.338
2015,Kosovo*,Available for final consumption,1381.747
2016,Kosovo*,Available for final consumption,1474.961
2017,Kosovo*,Available for final consumption,1567.308
2018,Kosovo*,Available for final consumption,1511.31
2019,Kosovo*,Available for final consumption,1569.347
2020,Kosovo*,Available for final consumption,1581.889
2021,Kosovo*,Available for final consumption,1780.299
2022,Kosovo*,Available for final consumption,1575.586
2023,Kosovo*,Available for final consumption,1602.282
2014,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),3280.229
2015,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),3497.311
2016,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),3727.257
2017,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),3674.038
2018,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),4401.825
2019,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),4417.711
2020,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),4342.021
2021,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),4646.735
2022,Bosnia and Herzegovina,Final energy consumption (Europe 2020-2030),4577.397
2014,Ukraine,Final energy consumption (Europe 2020-2030),61633.202
2015,Ukraine,Final energy consumption (Europe 2020-2030),51329.06
2016,Ukraine,Final energy consumption (Europe 2020-2030),52890.891
2017,Ukraine,Final energy consumption (Europe 2020-2030),50674.115
2018,Ukraine,Final energy consumption (Europe 2020-2030),51872.991
2019,Ukraine,Final energy consumption (Europe 2020-2030),49874.343
2020,Ukraine,Final energy consumption (Europe 2020-2030),46784.392
2014,United Kingdom,Final energy consumption (Europe 2020-2030),130116.871
2015,United Kingdom,Final energy consumption (Europe 2020-2030),132625.375
2016,United Kingdom,Final energy consumption (Europe 2020-2030),133767.863
2017,United Kingdom,Final energy consumption (Europe 2020-2030),133591.515
2018,United Kingdom,Final energy consumption (Europe 2020-2030),135131.932
2019,United Kingdom,Final energy consumption (Europe 2020-2030),134114.842
2014,Albania,Gross available energy,2375.779
2015,Albania,Gross available energy,2218.649
2016,Albania,Gross available energy,2305.608
2017,Albania,Gross available energy,2412.268
2018,Albania,Gross available energy,2398.096
2019,Albania,Gross available energy,2386.443
2020,Albania,Gross available energy,2214.765
2021,Albania,Gross available energy,2327.108
2022,Albania,Gross available energy,2239.331
2023,Albania,Gross available energy,2234.261
2014,Austria,Gross available energy,32938.236
2015,Austria,Gross available energy,33741.875
2016,Austria,Gross available energy,34209.391
2017,Austria,Gross available energy,34824.866
2018,Austria,Gross available energy,34028.126
2019,Austria,Gross available energy,34782.999
2020,Austria,Gross available energy,32352.795
2021,Austria,Gross available energy,34233.94
2022,Austria,Gross available energy,32609.858
2023,Austria,Gross available energy,31617.416
2014,Bosnia and Herzegovina,Gross available energy,6002.622
2015,Bosnia and Herzegovina,Gross available energy,6183.064
2016,Bosnia and Herzegovina,Gross available energy,6767.126
2017,Bosnia and Herzegovina,Gross available energy,6754.465
2018,Bosnia and Herzegovina,Gross available energy,7478.331
2019,Bosnia and Herzegovina,Gross available energy,7230.302
2020,Bosnia and Herzegovina,Gross available energy,7108.25
2021,Bosnia and Herzegovina,Gross available energy,7374.079
2022,Bosnia and Herzegovina,Gross available energy,7310.108
2014,Belgium,Gross available energy,59003.446
2015,Belgium,Gross available energy,59503.333
2016,Belgium,Gross available energy,63147.197
2017,Belgium,Gross available energy,63923.75
2018,Belgium,Gross available energy,63993.509
2019,Belgium,Gross available energy,64306.896
2020,Belgium,Gross available energy,57817.817
2021,Belgium,Gross available energy,64396.743
2022,Belgium,Gross available energy,59946.16
2023,Belgium,Gross available energy,56066.435
2014,Bulgaria,Gross available energy,17955.616
2015,Bulgaria,Gross available energy,18767.777
2016,Bulgaria,Gross available energy,18371.373
2017,Bulgaria,Gross available energy,19015.831
2018,Bulgaria,Gross available energy,18943.773
2019,Bulgaria,Gross available energy,18748.773
2020,Bulgaria,Gross available energy,17798.37
2021,Bulgaria,Gross available energy,19370.939
2022,Bulgaria,Gross available energy,19634.641
2023,Bulgaria,Gross available energy,17300.872
2014,Cyprus,Gross available energy,2477.117
2015,Cyprus,Gross available energy,2541.862
2016,Cyprus,Gross available energy,2750.316
2017,Cyprus,Gross available energy,2826.805
2018,Cyprus,Gross available energy,2902.436
2019,Cyprus,Gross available energy,2903.469
2020,Cyprus,Gross available energy,2558.567
2021,Cyprus,Gross available energy,2662.036
2022,Cyprus,Gross available energy,2859.166
2023,Cyprus,Gross available energy,2844.683
2014,Czechia,Gross available energy,42011.844
2015,Czechia,Gross available energy,42051.424
2016,Czechia,Gross available energy,41659.073
2017,Czechia,Gross available energy,43462.13
2018,Czechia,Gross available energy,43638.288
2019,Czechia,Gross available energy,42933.781
2020,Czechia,Gross available energy,40319.049
2021,Czechia,Gross available energy,42727.036
2022,Czechia,Gross available energy,41848.072
2023,Czechia,Gross available energy,38436.297
2014,Germany,Gross available energy,318861.268
2015,Germany,Gross available energy,320515.397
2016,Germany,Gross available energy,322845.741
2017,Germany,Gross available energy,324280.628
2018,Germany,Gross available energy,316559.599
2019,Germany,Gross available energy,309512.936
2020,Germany,Gross available energy,286209.057
2021,Germany,Gross available energy,297750.868
2022,Germany,Gross available energy,283789.612
2023,Germany,Gross available energy,257206.475
2014,Denmark,Gross available energy,18076.906
2015,Denmark,Gross available energy,18030.796
2016,Denmark,Gross available energy,18415.07
2017,Denmark,Gross available energy,18401.501
2018,Denmark,Gross available energy,18490.751
2019,Denmark,Gross available energy,18103.799
2020,Denmark,Gross available energy,16583.171
2021,Denmark,Gross available energy,17420.078
2022,Denmark,Gross available energy,16910.149
2023,Denmark,Gross available energy,16606.942
2014,Estonia,Gross available energy,5900.275
2015,Estonia,Gross available energy,5135.77
2016,Estonia,Gross available energy,6292.83
2017,Estonia,Gross available energy,6234.383
2018,Estonia,Gross available energy,6024.017
2019,Estonia,Gross available energy,5100.247
2020,Estonia,Gross available energy,4790.147
2021,Estonia,Gross available energy,4909.527
2022,Estonia,Gross available energy,5163.309
2023,Estonia,Gross available energy,4489.635
2014,Greece,Gross available energy,25859.138
2015,Greece,Gross available energy,25871.415
2016,Greece,Gross available energy,25374.145
2017,Greece,Gross available energy,26528.764
2018,Greece,Gross available energy,26023.087
2019,Greece,Gross available energy,26072.447
2020,Greece,Gross available energy,22075.359
2021,Greece,Gross available energy,23321.333
2022,Greece,Gross available energy,23784.042
2023,Greece,Gross available energy,22958.187
2014,Spain,Gross available energy,126079.791
2015,Spain,Gross available energy,130401.3
2016,Spain,Gross available energy,131435.263
2017,Spain,Gross available energy,137139.581
2018,Spain,Gross available energy,137261.951
2019,Spain,Gross available energy,134015.644
2020,Spain,Gross available energy,118167.742
2021,Spain,Gross available energy,125360.584
2022,Spain,Gross available energy,128229.139
2023,Spain,Gross available energy,124730.398
2014,European Union - 27 countries (from 2020),Gross available energy,1468585.692
2015,European Union - 27 countries (from 2020),Gross available energy,1488579.3
2016,European Union - 27 countries (from 2020),Gross available energy,1502659.992
2017,European Union - 27 countries (from 2020),Gross available energy,1534427.323
2018,European Union - 27 countries (from 2020),Gross available energy,1525787.217
2019,European Union - 27 countries (from 2020),Gross available energy,1501768.503
2020,European Union - 27 countries (from 2020),Gross available energy,1379094.44
2021,European Union - 27 countries (from 2020),Gross available energy,1462502.803
2022,European Union - 27 countries (from 2020),Gross available energy,1396683.246
2023,European Union - 27 countries (from 2020),Gross available energy,1339231.548
2014,Finland,Gross available energy,34444.261
2015,Finland,Gross available energy,32958.648
2016,Finland,Gross available energy,34150.102
2017,Finland,Gross available energy,34609.346
2018,Finland,Gross available energy,35236.082
2019,Finland,Gross available energy,34545.342
2020,Finland,Gross available energy,32433.176
2021,Finland,Gross available energy,33990.303
2022,Finland,Gross available energy,32831.37
2023,Finland,Gross available energy,33592.275
2014,France,Gross available energy,257935.904
2015,France,Gross available energy,262118.506
2016,France,Gross available energy,257544.588
2017,France,Gross available energy,257670.608
2018,France,Gross available energy,256708.957
2019,France,Gross available energy,253564.382
2020,France,Gross available energy,224624.503
2021,France,Gross available energy,243044.552
2022,France,Gross available energy,221397.295
2023,France,Gross available energy,225193.044
2014,Georgia,Gross available energy,4522.765
2015,Georgia,Gross available energy,4761.584
2016,Georgia,Gross available energy,4920.516
2017,Georgia,Gross available energy,4991.616
2018,Georgia,Gross available energy,4958.421
2019,Georgia,Gross available energy,5206.965
2020,Georgia,Gross available energy,5002.132
2021,Georgia,Gross available energy,5388.242
2022,Georgia,Gross available energy,5869.844
2014,Croatia,Gross available energy,8156.192
2015,Croatia,Gross available energy,8508.426
2016,Croatia,Gross available energy,8583.007
2017,Croatia,Gross available energy,8888.239
2018,Croatia,Gross available energy,8696.791
2019,Croatia,Gross available energy,8814.045
2020,Croatia,Gross available energy,8323.132
2021,Croatia,Gross available energy,8718.183
2022,Croatia,Gross available energy,8526.917
2023,Croatia,Gross available energy,8865.412
2014,Hungary,Gross available energy,23823.234
2015,Hungary,Gross available energy,25203.244
2016,Hungary,Gross available energy,25519.653
2017,Hungary,Gross available energy,26656.45
2018,Hungary,Gross available energy,26704.565
2019,Hungary,Gross available energy,26705.486
2020,Hungary,Gross available energy,26139.518
2021,Hungary,Gross available energy,27375.503
2022,Hungary,Gross available energy,25780.217
2023,Hungary,Gross available energy,24297.481
2014,Ireland,Gross available energy,13539.154
2015,Ireland,Gross available energy,14327.451
2016,Ireland,Gross available energy,15114.925
2017,Ireland,Gross available energy,14993.371
2018,Ireland,Gross available energy,15079.115
2019,Ireland,Gross available energy,15125.182
2020,Ireland,Gross available energy,13929.863
2021,Ireland,Gross available energy,14445.256
2022,Ireland,Gross available energy,14780.577
2023,Ireland,Gross available energy,14517.212
2014,Iceland,Gross available energy,6089.26
2015,Iceland,Gross available energy,5870.848
2016,Iceland,Gross available energy,5669.399
2017,Iceland,Gross available energy,6029.918
2018,Iceland,Gross available energy,6641.678
2019,Iceland,Gross available energy,6401.699
2020,Iceland,Gross available energy,6008.591
2021,Iceland,Gross available energy,6079.483
2022,Iceland,Gross available energy,6419.11
2023,Iceland,Gross available energy,6480.006
2014,Italy,Gross available energy,151758.638
2015,Italy,Gross available energy,157629.547
2016,Italy,Gross available energy,156490.332
2017,Italy,Gross available energy,161815.269
2018,Italy,Gross available energy,159710.888
2019,Italy,Gross available energy,158086.438
2020,Italy,Gross available energy,144034.889
2021,Italy,Gross available energy,156581.767
2022,Italy,Gross available energy,150530.89
2023,Italy,Gross available energy,144436.969
2014,Lithuania,Gross available energy,7071.11
2015,Lithuania,Gross available energy,7260.107
2016,Lithuania,Gross available energy,7518.281
2017,Lithuania,Gross available energy,7868.512
2018,Lithuania,Gross available energy,8034.248
2019,Lithuania,Gross available energy,7996.646
2020,Lithuania,Gross available energy,7814.577
2021,Lithuania,Gross available energy,8136.44
2022,Lithuania,Gross available energy,7286.529
2023,Lithuania,Gross available energy,7320.3
2014,Luxembourg,Gross available energy,4222.015
2015,Luxembourg,Gross available energy,4178.238
2016,Luxembourg,Gross available energy,4190.508
2017,Luxembourg,Gross available energy,4330.389
2018,Luxembourg,Gross available energy,4504.739
2019,Luxembourg,Gross available energy,4545.653
2020,Luxembourg,Gross available energy,3967.525
2021,Luxembourg,Gross available energy,4221.718
2022,Luxembourg,Gross available energy,3817.664
2023,Luxembourg,Gross available energy,3690.139
2014,Latvia,Gross available energy,4684.209
2015,Latvia,Gross available energy,4634.173
2016,Latvia,Gross available energy,4706.689
2017,Latvia,Gross available energy,4811.298
2018,Latvia,Gross available energy,4831.547
2019,Latvia,Gross available energy,4940.251
2020,Latvia,Gross available energy,4568.313
2021,Latvia,Gross available energy,4787.767
2022,Latvia,Gross available energy,4480.26
2023,Latvia,Gross available energy,4420.189
2014,Moldova,Gross available energy,2587.948
2015,Moldova,Gross available energy,2602.359
2016,Moldova,Gross available energy,2708.197
2017,Moldova,Gross available energy,2850.473
2018,Moldova,Gross available energy,2988.291
2019,Moldova,Gross available energy,2839.87
2020,Moldova,Gross available energy,2714.524
2021,Moldova,Gross available energy,3008.81
2022,Moldova,Gross available energy,2692.197
2023,Moldova,Gross available energy,2572.784
2014,Montenegro,Gross available energy,973.891
2015,Montenegro,Gross available energy,1018.874
2016,Montenegro,Gross available energy,989.693
2017,Montenegro,Gross available energy,1037.122
2018,Montenegro,Gross available energy,1074.297
2019,Montenegro,Gross available energy,1112.236
2020,Montenegro,Gross available energy,1022.524
2021,Montenegro,Gross available energy,1092.894
2022,Montenegro,Gross available energy,1061.592
2023,Montenegro,Gross available energy,1098.517
2014,North Macedonia,Gross available energy,2707.262
2015,North Macedonia,Gross available energy,2661.084
2016,North Macedonia,Gross available energy,2705.66
2017,North Macedonia,Gross available energy,2763.277
2018,North Macedonia,Gross available energy,2592.09
2019,North Macedonia,Gross available energy,2861.947
2020,North Macedonia,Gross available energy,2597.287
2021,North Macedonia,Gross available energy,2676.973
2022,North Macedonia,Gross available energy,2737.786
2023,North Macedonia,Gross available energy,2700.708
2014,Malta,Gross available energy,2115.647
2015,Malta,Gross available energy,2294.528
2016,Malta,Gross available energy,2470.445
2017,Malta,Gross available energy,2959.315
2018,Malta,Gross available energy,3053.813
2019,Malta,Gross available energy,3163.634
2020,Malta,Gross available energy,2946.878
2021,Malta,Gross available energy,2738.727
2022,Malta,Gross available energy,3042.331
2023,Malta,Gross available energy,3195.004
2014,Netherlands,Gross available energy,87933.618
2015,Netherlands,Gross available energy,88424.119
2016,Netherlands,Gross available energy,90052.035
2017,Netherlands,Gross available energy,91106.202
2018,Netherlands,Gross available energy,89196.442
2019,Netherlands,Gross available energy,87637.839
2020,Netherlands,Gross available energy,83781.874
2021,Netherlands,Gross available energy,85697.389
2022,Netherlands,Gross available energy,78817.06
2023,Netherlands,Gross available energy,76019.164
2014,Norway,Gross available energy,29657.399
2015,Norway,Gross available energy,26744.974
2016,Norway,Gross available energy,29443.202
2017,Norway,Gross available energy,31056.633
2018,Norway,Gross available energy,31169.176
2019,Norway,Gross available energy,29689.63
2020,Norway,Gross available energy,28985.176
2021,Norway,Gross available energy,30008.808
2022,Norway,Gross available energy,27152.459
2023,Norway,Gross available energy,28841.738
2014,Poland,Gross available energy,94969.964
2015,Poland,Gross available energy,96061.225
2016,Poland,Gross available energy,100765.123
2017,Poland,Gross available energy,105492.599
2018,Poland,Gross available energy,110246.626
2019,Poland,Gross available energy,106347.823
2020,Poland,Gross available energy,103261.157
2021,Poland,Gross available energy,109937.849
2022,Poland,Gross available energy,104734.817
2023,Poland,Gross available energy,98485.159
2014,Portugal,Gross available energy,23320.573
2015,Portugal,Gross available energy,24230.2
2016,Portugal,Gross available energy,24284.081
2017,Portugal,Gross available energy,25419.887
2018,Portugal,Gross available energy,24843.099
2019,Portugal,Gross available energy,24857.905
2020,Portugal,Gross available energy,22086.686
2021,Portugal,Gross available energy,22203.331
2022,Portugal,Gross available energy,23289.079
2023,Portugal,Gross available energy,22676.551
2014,Romania,Gross available energy,31665.428
2015,Romania,Gross available energy,31917.548
2016,Romania,Gross available energy,31826.369
2017,Romania,Gross available energy,33562.493
2018,Romania,Gross available energy,33610.239
2019,Romania,Gross available energy,33239.401
2020,Romania,Gross available energy,32264.95
2021,Romania,Gross available energy,34324.984
2022,Romania,Gross available energy,31672.4
2023,Romania,Gross available energy,30792.411
2014,Serbia,Gross available energy,13374.319
2015,Serbia,Gross available energy,14833.155
2016,Serbia,Gross available energy,15452.723
2017,Serbia,Gross available energy,15763.122
2018,Serbia,Gross available energy,15545.308
2019,Serbia,Gross available energy,15433.619
2020,Serbia,Gross available energy,15971.131
2021,Serbia,Gross available energy,16250.547
2022,Serbia,Gross available energy,16438.396
2023,Serbia,Gross available energy,15959.112
2014,Sweden,Gross available energy,51040.499
2015,Sweden,Gross available energy,48852.398
2016,Sweden,Gross available energy,51097.487
2017,Sweden,Gross available energy,52650.353
2018,Sweden,Gross available energy,52847.578
2019,Sweden,Gross available energy,51765.146
2020,Sweden,Gross available energy,47341.515
2021,Sweden,Gross available energy,49717.886
2022,Sweden,Gross available energy,47916.691
2023,Sweden,Gross available energy,46953.988
2014,Slovenia,Gross available energy,6610.783
2015,Slovenia,Gross available energy,6569.516
2016,Slovenia,Gross available energy,6842.152
2017,Slovenia,Gross available energy,7071.42
2018,Slovenia,Gross available energy,7082.868
2019,Slovenia,Gross available energy,6934.077
2020,Slovenia,Gross available energy,6457.192
2021,Slovenia,Gross available energy,6635.211
2022,Slovenia,Gross available energy,6378.396
2023,Slovenia,Gross available energy,6079.932
2014,Slovakia,Gross available energy,16130.826
2015,Slovakia,Gross available energy,16850.477
2016,Slovakia,Gross available energy,17003.816
2017,Slovakia,Gross available energy,17883.333
2018,Slovakia,Gross available energy,17534.083
2019,Slovakia,Gross available energy,17018.262
2020,Slovakia,Gross available energy,16446.618
2021,Slovakia,Gross available energy,17792.853
2022,Slovakia,Gross available energy,16626.605
2023,Slovakia,Gross available energy,16438.978
2014,Türkiye,Gross available energy,123324.482
2015,Türkiye,Gross available energy,133215.061
